symbol,basis,statement,period,sales,sales_yoy_pct,opm_pct,net_profit,eps,profit_excl_excep,profit_yoy_pct,profit_basis
RELIANCE,consolidated,annual,Mar 2015,374372.0,,10.0,23640.0,17.07,22367.0,,
RELIANCE,consolidated,annual,Mar 2016,272583.0,-27.2,15.0,29861.0,21.51,29887.0,33.6,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2017,303954.0,11.5,15.0,29833.0,21.55,29917.0,0.1,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2018,390823.0,28.6,16.0,36080.0,26.69,36181.0,20.9,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2019,568337.0,45.4,15.0,39837.0,29.28,39897.0,10.3,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2020,596679.0,5.0,15.0,39880.0,29.1,43377.0,8.7,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2021,466307.0,-21.8,17.0,53739.0,38.75,48372.0,11.5,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2022,694673.0,49.0,16.0,67845.0,44.87,65659.0,35.7,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2023,876396.0,26.2,16.0,74088.0,49.29,74210.0,13.0,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2024,899041.0,2.6,18.0,79020.0,51.45,77772.0,4.8,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2025,962820.0,7.1,17.0,81309.0,51.47,79572.0,2.3,profit_excl_excep
RELIANCE,consolidated,annual,Mar 2026,1055780.0,9.7,17.0,95754.0,59.69,92291.0,16.0,profit_excl_excep
RELIANCE,consolidated,annual,TTM,1123055.0,,16.0,88167.0,55.22,,,
RELIANCE,consolidated,quarterly,Jun 2023,207559.0,,18.0,18258.0,11.83,18258.0,,
RELIANCE,consolidated,quarterly,Sep 2023,231886.0,,18.0,19878.0,12.85,19878.0,,
RELIANCE,consolidated,quarterly,Dec 2023,225086.0,,18.0,19641.0,12.76,19641.0,,
RELIANCE,consolidated,quarterly,Mar 2024,236533.0,,18.0,21243.0,14.01,21243.0,,
RELIANCE,consolidated,quarterly,Jun 2024,231784.0,11.7,17.0,17445.0,11.19,17445.0,-4.5,profit_excl_excep
RELIANCE,consolidated,quarterly,Sep 2024,231535.0,-0.2,17.0,19323.0,12.24,19323.0,-2.8,profit_excl_excep
RELIANCE,consolidated,quarterly,Dec 2024,239986.0,6.6,18.0,21930.0,13.7,21930.0,11.7,profit_excl_excep
RELIANCE,consolidated,quarterly,Mar 2025,261388.0,10.5,17.0,22611.0,14.34,22611.0,6.4,profit_excl_excep
RELIANCE,consolidated,quarterly,Jun 2025,243632.0,5.1,18.0,30783.0,19.95,23412.0,34.2,profit_excl_excep
RELIANCE,consolidated,quarterly,Sep 2025,254623.0,10.0,18.0,22092.0,13.42,22092.0,14.3,profit_excl_excep
RELIANCE,consolidated,quarterly,Dec 2025,264905.0,10.4,17.0,22290.0,13.78,22290.0,1.6,profit_excl_excep
RELIANCE,consolidated,quarterly,Mar 2026,294059.0,12.5,15.0,20589.0,12.54,20589.0,-8.9,profit_excl_excep
RELIANCE,consolidated,quarterly,Jun 2026,309468.0,27.0,15.0,23196.0,15.48,23196.0,-0.9,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2015,50666.0,,14.0,10703.0,10.66,10696.0,,
HDFCBANK,consolidated,annual,Mar 2016,63162.0,24.7,14.0,12821.0,12.66,12821.0,19.9,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2017,73271.0,16.0,16.0,15317.0,14.91,15291.0,19.3,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2018,85288.0,16.4,16.0,18561.0,17.83,18562.0,21.4,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2019,105161.0,23.3,16.0,22446.0,20.5,22425.0,20.8,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2020,122189.0,16.2,12.0,27296.0,24.85,27278.0,21.6,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2021,128552.0,5.2,13.0,31857.0,28.87,31824.0,16.7,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2022,135936.0,5.7,15.0,38151.0,34.31,38100.0,19.7,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2023,170754.0,25.6,18.0,46149.0,41.22,46079.0,20.9,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2024,283649.0,66.1,-16.0,65446.0,42.16,65283.0,41.7,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2025,336367.0,18.6,-10.0,73440.0,46.26,73247.0,12.2,profit_excl_excep
HDFCBANK,consolidated,annual,Mar 2026,348615.0,3.6,-12.0,79219.0,49.39,78758.0,7.5,profit_excl_excep
HDFCBANK,consolidated,annual,TTM,351819.0,,-10.0,82512.0,51.35,,,
HDFCBANK,consolidated,quarterly,Jun 2023,51168.0,,13.0,12403.0,11.06,12403.0,,
HDFCBANK,consolidated,quarterly,Sep 2023,75039.0,,-15.0,17312.0,11.09,17312.0,,
HDFCBANK,consolidated,quarterly,Dec 2023,78008.0,,-20.0,17718.0,11.37,17718.0,,
HDFCBANK,consolidated,quarterly,Mar 2024,79434.0,,-34.0,18013.0,11.6,18013.0,,
HDFCBANK,consolidated,quarterly,Jun 2024,81546.0,59.4,-16.0,17188.0,10.83,17188.0,38.6,profit_excl_excep
HDFCBANK,consolidated,quarterly,Sep 2024,83002.0,10.6,-17.0,18627.0,11.68,18627.0,7.6,profit_excl_excep
HDFCBANK,consolidated,quarterly,Dec 2024,85040.0,9.0,-4.0,18340.0,11.54,18340.0,3.5,profit_excl_excep
HDFCBANK,consolidated,quarterly,Mar 2025,86779.0,9.2,-9.0,19285.0,12.31,19285.0,7.1,profit_excl_excep
HDFCBANK,consolidated,quarterly,Jun 2025,87372.0,7.1,-28.0,17090.0,10.6,17090.0,-0.6,profit_excl_excep
HDFCBANK,consolidated,quarterly,Sep 2025,86994.0,4.8,-6.0,20364.0,12.76,20364.0,9.3,profit_excl_excep
HDFCBANK,consolidated,quarterly,Dec 2025,87067.0,2.4,-15.0,20691.0,12.87,20691.0,12.8,profit_excl_excep
HDFCBANK,consolidated,quarterly,Mar 2026,87182.0,0.5,-2.0,21074.0,13.22,21074.0,9.3,profit_excl_excep
HDFCBANK,consolidated,quarterly,Jun 2026,90575.0,3.7,-17.0,20383.0,12.5,20383.0,19.3,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2015,96101.0,,35.0,5048.0,8.41,4938.0,,
BHARTIARTL,consolidated,annual,Mar 2016,96532.0,0.4,35.0,6893.0,11.05,5781.0,17.1,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2017,95468.0,-1.1,37.0,4241.0,6.91,4873.0,-15.7,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2018,82639.0,-13.4,36.0,2184.0,2.0,2470.0,-49.3,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2019,80780.0,-2.2,32.0,1688.0,0.74,901.0,-63.5,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2020,87539.0,8.4,42.0,-30664.0,-55.06,7305.0,710.8,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2021,100616.0,14.9,45.0,-12364.0,-25.63,12531.0,71.5,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2022,116547.0,15.8,49.0,8305.0,7.23,7175.0,-42.7,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2023,139145.0,19.4,51.0,12287.0,14.97,12784.0,78.2,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2024,149982.0,7.8,52.0,8558.0,13.2,13493.0,5.5,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2025,172985.0,15.3,49.0,37481.0,58.85,25329.0,87.7,profit_excl_excep
BHARTIARTL,consolidated,annual,Mar 2026,210973.0,22.0,55.0,33823.0,43.81,33732.0,33.2,profit_excl_excep
BHARTIARTL,consolidated,annual,TTM,220049.0,,57.0,36413.0,48.65,,,
BHARTIARTL,consolidated,quarterly,Jun 2023,37440.0,,52.0,1520.0,2.89,4004.0,,
BHARTIARTL,consolidated,quarterly,Sep 2023,37044.0,,53.0,2093.0,2.39,2928.0,,
BHARTIARTL,consolidated,quarterly,Dec 2023,37900.0,,52.0,2876.0,4.34,2968.0,,
BHARTIARTL,consolidated,quarterly,Mar 2024,37599.0,,52.0,2068.0,3.66,3896.0,,
BHARTIARTL,consolidated,quarterly,Jun 2024,38506.0,2.8,51.0,4718.0,7.31,4142.0,3.4,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Sep 2024,41473.0,12.0,53.0,4153.0,6.31,4755.0,62.4,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Dec 2024,45129.0,19.1,54.0,16135.0,25.95,9095.0,206.4,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Mar 2025,47876.0,27.3,56.0,12476.0,19.33,12596.0,223.3,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Jun 2025,49463.0,28.5,56.0,7422.0,10.43,7422.0,79.2,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Sep 2025,52145.0,25.7,57.0,8651.0,11.91,8651.0,81.9,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Dec 2025,53982.0,19.6,57.0,8503.0,11.63,8680.0,-4.6,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Mar 2026,55383.0,15.7,57.0,9247.0,12.02,11732.0,-6.9,profit_excl_excep
BHARTIARTL,consolidated,quarterly,Jun 2026,58539.0,18.3,57.0,10012.0,13.09,10268.0,38.3,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2015,54964.0,,-29.0,12942.0,19.2,12940.0,,
ICICIBANK,consolidated,annual,Mar 2016,59294.0,7.9,-45.0,10927.0,15.92,10913.0,-15.7,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2017,60940.0,2.8,-62.0,11340.0,15.9,11341.0,3.9,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2018,62162.0,2.0,-72.0,9100.0,12.0,9098.0,-19.8,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2019,71982.0,15.8,-71.0,5689.0,6.6,5690.0,-37.5,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2020,84836.0,17.9,-53.0,11225.0,14.78,11225.0,97.3,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2021,89163.0,5.1,-50.0,20364.0,26.58,20369.0,81.5,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2022,95407.0,7.0,-28.0,26538.0,36.14,26534.0,30.3,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2023,121067.0,26.9,-14.0,35461.0,48.74,35421.0,33.5,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2024,159516.0,31.8,-9.0,46081.0,63.02,46070.0,30.1,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2025,186331.0,16.8,-18.0,54569.0,71.65,54514.0,18.3,profit_excl_excep
ICICIBANK,consolidated,annual,Mar 2026,195218.0,4.8,-19.0,57936.0,75.71,57575.0,5.6,profit_excl_excep
ICICIBANK,consolidated,annual,TTM,198379.0,,-20.0,59756.0,78.36,,,
ICICIBANK,consolidated,quarterly,Jun 2023,37106.0,,-2.0,11014.0,15.2,11014.0,,
ICICIBANK,consolidated,quarterly,Sep 2023,38938.0,,-9.0,11351.0,15.56,11351.0,,
ICICIBANK,consolidated,quarterly,Dec 2023,40865.0,,-8.0,11515.0,15.76,11515.0,,
ICICIBANK,consolidated,quarterly,Mar 2024,42607.0,,-20.0,12200.0,16.62,12200.0,,
ICICIBANK,consolidated,quarterly,Jun 2024,44582.0,20.1,-13.0,12463.0,16.62,12463.0,13.2,profit_excl_excep
ICICIBANK,consolidated,quarterly,Sep 2024,46326.0,19.0,-18.0,13906.0,18.38,13906.0,22.5,profit_excl_excep
ICICIBANK,consolidated,quarterly,Dec 2024,47037.0,15.1,-19.0,13847.0,18.25,13847.0,20.3,profit_excl_excep
ICICIBANK,consolidated,quarterly,Mar 2025,48387.0,13.6,-25.0,14354.0,18.96,14354.0,17.7,profit_excl_excep
ICICIBANK,consolidated,quarterly,Jun 2025,49080.0,10.1,-12.0,14456.0,19.0,14456.0,16.0,profit_excl_excep
ICICIBANK,consolidated,quarterly,Sep 2025,48181.0,4.0,-18.0,14318.0,18.7,14318.0,3.0,profit_excl_excep
ICICIBANK,consolidated,quarterly,Dec 2025,48364.0,2.8,-22.0,13481.0,17.53,13481.0,-2.6,profit_excl_excep
ICICIBANK,consolidated,quarterly,Mar 2026,49594.0,2.5,-29.0,15681.0,20.61,15681.0,9.2,profit_excl_excep
ICICIBANK,consolidated,quarterly,Jun 2026,52241.0,6.4,-12.0,16276.0,21.52,16276.0,12.6,profit_excl_excep
SBIN,consolidated,annual,Mar 2015,207974.0,,-11.0,17832.0,22.76,17864.0,,
SBIN,consolidated,annual,Mar 2016,220633.0,6.1,-15.0,13019.0,15.75,13034.0,-27.0,profit_excl_excep
SBIN,consolidated,annual,Mar 2017,230447.0,4.4,-28.0,-97.0,0.3,-305.0,-102.3,profit_excl_excep
SBIN,consolidated,annual,Mar 2018,228970.0,-0.6,-38.0,-3749.0,-5.11,-3723.0,,profit_excl_excep
SBIN,consolidated,annual,Mar 2019,253322.0,10.6,-27.0,3351.0,2.58,3154.0,,profit_excl_excep
