symbol,market_cap,sector
LAKPRE,5.71,Industrials
SABEVENTS,6.26,Communication Services
ORTEL,6.33,Communication Services
SETUINFRA,7.29,Industrials
ALPSINDUS,7.92,Consumer Cyclical
ORTINGLOBE,10.25,Healthcare
PREMIER,10.86,Industrials
SHANTI,11.47,Consumer Defensive
OMKARCHEM,12.37,Basic Materials
DCMFERV,12.58,Financial Services
EUROTEXIND,13.14,Real Estate
KALYANI,13.81,Consumer Cyclical
GLOBALE,13.89,Consumer Cyclical
ARENTERP,14.84,Basic Materials
LYPSAGEMS,14.87,Consumer Cyclical
MTEDUCARE,15.45,Consumer Defensive
COMPINFO,15.61,Technology
NIRAJISPAT,15.69,Consumer Cyclical
CREATIVEYE,15.77,Communication Services
ANTGRAPHIC,16.59,Consumer Cyclical
ONELIFECAP,16.88,Financial Services
IMPEXFERRO,16.97,Basic Materials
RADAAN,19.01,Communication Services
BOHRAIND,22.01,Basic Materials
GLFL,23,Financial Services
HEADSUP,23.16,Consumer Cyclical
ACEINTEG,24.26,Industrials
KSHITIJPOL,25.54,Industrials
GTECJAINX,25.63,Consumer Defensive
SANGINITA,26.19,Basic Materials
RETAIL,26.96,Consumer Defensive
FEL,27.59,Consumer Cyclical
FELDVR,28.26,Consumer Cyclical
ANKITMETAL,28.63,Basic Materials
FLFL,28.85,Consumer Cyclical
ROLTA,29.03,Technology
ROLLT,30.77,Real Estate
CYBERMEDIA,30.8,Communication Services
LIBAS,31.24,Consumer Cyclical
MORARJEE,31.59,Consumer Cyclical
DIL,32.22,Industrials
MFML,32.46,Consumer Cyclical
BILVYAPAR,35.44,Basic Materials
KRIDHANINF,35.54,Basic Materials
KHANDSE,35.85,Financial Services
KAUSHALYA,35.93,Industrials
SANWARIA,36.07,Consumer Defensive
AURIGROW,36.64,Industrials
NGIL,37.3,Consumer Defensive
SGL,37.56,Consumer Cyclical
LAXMICOT,37.71,Consumer Cyclical
KANANIIND,37.79,Consumer Cyclical
NAGREEKCAP,39.08,Financial Services
MADHAV,39.6,Industrials
INFOMEDIA,40.72,Financial Services
PNC,40.93,Communication Services
NKIND,41.54,Consumer Defensive
ASHOKAMET,41.94,Basic Materials
AMBICAAGAR,43.17,Consumer Defensive
ARSHIYA,43.22,Industrials
AKG,43.92,Industrials
KEEPLEARN,45.46,Consumer Defensive
MEP,46.23,Industrials
NEXTMEDIA,46.29,Communication Services
PEARLPOLY,46.75,Consumer Cyclical
MOHITIND,46.77,Consumer Cyclical
ADL,47.73,Consumer Cyclical
AKASH,47.97,Industrials
ABMINTLLTD,48.18,Basic Materials
SEYAIND,48.38,Basic Materials
21STCENMGM,48.53,Financial Services
AKSHAR,48.82,Consumer Cyclical
ASTRON,49.2,Basic Materials
GANGAFORGE,49.34,Industrials
SAGARDEEP,49.82,Basic Materials
DNAMEDIA,51.09,Communication Services
CALSOFT,51.45,Technology
MADHUCON,51.5,Industrials
COUNCODOS,51.6,Real Estate
LCCINFOTEC,52.92,Consumer Defensive
LASA,54.31,Healthcare
AGSTRA,54.45,Technology
AROGRANITE,55.81,Industrials
HBSL,56.09,Financial Services
JETFREIGHT,58.56,Industrials
JAIPURKURT,58.6,Consumer Cyclical
MASKINVEST,58.89,Financial Services
LFIC,61.11,Financial Services
KHAITANLTD,61.69,Consumer Cyclical
HAVISHA,61.88,Consumer Cyclical
RKDL,62.28,Consumer Defensive
GOLDENTOBC,62.34,Consumer Defensive
GSS,63.12,Technology
CELEBRITY,63.74,Consumer Cyclical
BIOFILCHEM,64.3,Healthcare
CAPTRUST,65.07,Financial Services
MALUPAPER,65.46,Basic Materials
FLEXITUFF,65.97,Consumer Cyclical
MITTAL,66.14,Consumer Cyclical
DANGEE,66.21,Consumer Cyclical
ADROITINFO,66.72,Technology
ARCHIES,67.15,Consumer Cyclical
SECURKLOUD,67.32,Technology
LEXUS,67.36,Industrials
ALAPI,67.84,Real Estate
MANUGRAPH,68.07,Industrials
KARMAENG,68.56,Utilities
ICDSLTD,70.85,Real Estate
ORIENTALTL,71.3,Industrials
PARASPETRO,71.52,Consumer Cyclical
BANG,72.83,Consumer Cyclical
FMNL,72.89,Real Estate
PALREDTEC,73.43,Technology
ATLASCYCLE,73.54,Consumer Cyclical
NIBL,74.09,Industrials
BALKRISHNA,74.65,Consumer Cyclical
GAYAHWS,75.86,Industrials
AHLADA,76.21,Industrials
GATECH,78.14,Financial Services
AGRITECH,78.27,Consumer Defensive
ROML,78.44,Consumer Defensive
GATECHDVR,78.83,Financial Services
DAMODARIND,82.93,Consumer Cyclical
NOIDATOLL,83.04,Industrials
AGROPHOS,83.83,Basic Materials
DELTAMAGNT,84.91,Industrials
BLBLIMITED,85.59,Financial Services
HYBRIDFIN,85.73,Financial Services
ANMOL,86.28,Energy
BLUECOAST,86.96,Consumer Cyclical
ORIENTLTD,88.28,Consumer Cyclical
AKI,88.97,Consumer Cyclical
AJOONI,89.22,Consumer Defensive
PRAKASHSTL,90.3,Basic Materials
PRUDMOULI,90.63,Consumer Defensive
DBSTOCKBRO,90.76,Financial Services
NARMADA,90.93,Basic Materials
ALKALI,91.1,Basic Materials
AAKASH,91.63,Energy
NAGREEKEXP,92.94,Consumer Cyclical
ENERGYDEV,94.95,Utilities
BANKA,96.6,Industrials
BANARBEADS,96.97,Consumer Cyclical
MITCON,97.23,Industrials
PRITI,98.04,Consumer Cyclical
HISARMETAL,98.28,Basic Materials
NORBTEAEXP,98.43,Consumer Defensive
PATINTLOG,99.23,Industrials
HGM,99.23,Technology
IL&FSTR,99.67,Industrials
ACCURACY,101.03,Industrials
MANGALAM,102.04,Healthcare
BVCL,102.33,Basic Materials
DHRUV,102.72,Industrials
MOTOGENFIN,103.17,Real Estate
CEREBRAINT,103.26,Technology
GOYALALUM,104.21,Basic Materials
GLOBE,105.4,Consumer Cyclical
ATAM,105.52,Industrials
HILTON,105.72,Industrials
CTE,107.02,Technology
PIONEEREMB,107.98,Consumer Cyclical
LPDC,109.33,Real Estate
CINEVISTA,109.65,Communication Services
AMDIND,110.44,Consumer Cyclical
KAKATCEM,111.25,Basic Materials
BHANDARI,111.38,Consumer Cyclical
DIGIDRIVE,112.79,Consumer Cyclical
JHS,113.51,Consumer Defensive
